department_tag,course_code,name,credits,description,corequisites,prerequisites,attributes,department,group_numbers
ACCT,1201,Financial Accounting and Reporting,4,"Covers the basic concepts underlying financial statements and the accounting principles followed in the preparation of the balance sheet, the income statement, and the statement of cash flows. Offers students an opportunity to become familiar with accounting terminology and methods designed to enable them to interpret, analyze, and evaluate published corporate financial reports. Wherever appropriate, the course relates current economic, business, and global events to accounting issues. Analyzes how financial reporting concepts affect the behavior of investors, creditors, and other external users. Emphasizes the importance of ethics in financial reporting.",[],[],[],Accounting,[]
ACCT,1209,Financial Accounting and Reporting,4,Does not count as credit for business majors. Counts as ACCT 1201 for business minors only. Requires second-semester-freshman standing or above.,[],[],[],Accounting,[]
ACCT,2301,Profit Analysis for Managers and Advisors,4,"Focuses on the development and analysis of information for managerial decision making within the firm. Students take a managerial or advisory perspective to conduct cost and profit analyses that support the strategic goals of an organization to manage firm profitability. Topics include costing products, services, and customers; understanding cost behavior; cost-volume-profit analysis; relevant cost analysis for decision making; budgeting; variance analysis; and performance evaluation. Covers key knowledge and tasks that managers, consultants, and advisors need to understand to help a business run successfully.",[],"['ACCT 1201', 'ACCT 1209', 'ACCT 1202']",['Natural/Designed World'],Accounting,"[1, 1, 1]"
ACCT,3304,Business Law and Professional Ethics,4,"Covers business law, professional code of conduct, and the importance of ethical behavior in today’s business environment. Examines legal aspects of commercial transactions and business relationships. Specifically, laws relating to contracts and sale of goods under the Uniform Commercial Code, agency law, and product liability law are discussed. May not be used as an accounting concentration elective.",[],"['ACCT 2301', 'ACCT 2302']",[],Accounting,"[1, 1]"
ACCT,3401,Financial Reporting and Analysis 1,4,"Examines financial reporting concepts, emphasizing the link between them and financial statements. Focuses on both the preparation and interpretation of financial statements, with students also being introduced to basic tools in financial statement analysis, such as ratio and accounting analysis. Gives students the opportunity to understand how management decisions can influence reported income, asset, and liability values, and the importance of ethics when making accounting choices. Offers students the tools necessary to analyze the impact of alternative reporting decisions on financial statements. In addition to accounting majors, this course is ideal for students who wish to pursue careers in corporate finance, investment banking, investment management, or consulting.",[],"['ACCT 2301', 'ACCT 2302']",[],Accounting,"[1, 1]"
ACCT,3402,Financial Reporting and Financial Statement Analysis,4,"Focuses on the analysis, interpretation, reformulation, and prediction of financial data, including profitability analysis, operating versus nonoperating performance evaluation, credit analysis, reformulation of financial statements, forecasting of financial statements, analysis of intercorporate investments, cash flow analysis, accounting-based equity valuation, cash-based equity valuation, assessment of earnings quality and earnings management, and the assessment of intangible assets. Emphasizes the analysis and application of financial statement information for investment, credit, and management decisions, including advisory and consulting services. Considerable importance is placed on evaluation, interpretation, and use of accounting data for decision making. Such knowledge will enable one to participate in and manage important business decisions.",[],"['ACCT 2301', 'ACCT 2302']",[],Accounting,"[1, 1]"
ACCT,3403,Advisory Services and Emerging Accounting Systems,4,"Provides an understanding of accounting information systems, with an emphasis on the role of technology and risk analysis. Information is critical for the effective and efficient management of any organization. Addresses concepts and applications relating to the design, analysis, and implementation of accounting systems. Examines the role of e-commerce and Internet-based technologies, including their implications for ethics and privacy, throughout the course.",[],"['ACCT 2301', 'ACCT 2302']",[],Accounting,"[1, 1]"
ACCT,3416,Strategic Cost Analysis for Decision Making,4,"Develops understanding of the critical role of cost measurement and management in business decisions and in managing a firm’s profitability. Focuses on the strategic use of cost information for planning and control, as well as costing products, services, and customers. Emphasizes the role of management accountants as integral members of decision-making teams and as consultants to senior management. Studies alternate ways of measuring costs to meet different management objectives, the role of budgeting as a planning and management tool, the use of cost analysis as a control tool to help management meet short- and long-term profit objectives, and the importance of ethics in achieving all of these objectives. In addition to accounting majors, this course is ideal for students who wish to pursue a career in finance, general management, operations management, supply chain management, or entrepreneurship.",[],['ACCT 2301'],[],Accounting,[1]
ACCT,4412,Auditing and Other Assurance Services,4,"Focuses on issues relevant to the public accounting profession and to internal auditors and managers in private or governmental organizations. Topics include legal liability and ethics, business and audit risk assessment, fraud detection and prevention procedures, planning of audit engagements, audit reports, other assurance services and reports, and the effect of information technology on the audit process. Offers students the opportunity to think critically about issues facing the auditing profession.",[],['ACCT 3401'],[],Accounting,[1]
ACCT,4414,Income Tax Determination and Planning,4,"Provides a basic understanding of the structure of the federal income tax system. Taxes can have a significant impact on the viability of a number of personal finance and business decisions. Focuses on the individual taxpayer but also considers the implications for other entities. Tax return projects, research cases, and planning projects help demonstrate the potential impact of taxes on decision making.",[],['ACCT 2301'],[],Accounting,[1]
